City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,34.83,90,56,35.23,GS,1683474397
1,salalah,17.0151,54.0924,84.29,74,0,8.05,OM,1683474397
2,port isabel,26.0734,-97.2086,87.03,75,0,17.27,US,1683474397
3,sinop,41.7711,34.8709,49.66,95,100,5.77,TR,1683474398
4,rosario,-32.9468,-60.6393,70.83,47,0,6.91,AR,1683474266
5,puerto natales,-51.7236,-72.4875,52.25,54,75,9.22,CL,1683474123
6,bilibino,68.0546,166.4372,13.44,100,98,2.39,RU,1683474398
7,inhambane,-23.865,35.3833,72.66,77,0,5.93,MZ,1683474399
8,blackmans bay,-43.0167,147.3167,36.52,87,28,6.31,AU,1683474399
9,kroya,-7.6331,109.2461,79.63,85,99,5.53,ID,1683474399
10,katsuren-haebaru,26.3369,127.8719,72.37,96,40,13.8,JP,1683474400
11,palmerston,-12.486,130.9833,82.38,54,100,10.36,AU,1683474400
12,bar,49.0772,27.6826,42.28,85,100,9.62,UA,1683474400
13,holualoa,19.6228,-155.9522,69.64,93,0,5.75,US,1683474400
14,antonio enes,-16.2325,39.9086,74.3,72,3,7.11,MZ,1683474400
15,waitangi,-43.9535,-176.5597,57.81,95,100,1.99,NZ,1683474401
16,hami,42.8,93.45,56.1,22,5,8.23,CN,1683474401
17,klyuchi,52.2667,79.1667,66.0,29,0,5.77,RU,1683474191
18,lebu,-37.6167,-73.65,57.24,73,73,10.89,CL,1683474113
19,vila franca do campo,37.7167,-25.4333,66.61,79,90,13.98,PT,1683474231
20,cole harbour,44.6724,-63.4751,61.18,55,49,18.41,CA,1683474402
21,lebanon,36.2081,-86.2911,80.78,70,75,10.36,US,1683474297
22,ushuaia,-54.8,-68.3,49.66,66,20,3.44,AR,1683474402
23,samarinda,-0.5,117.15,75.58,98,98,2.57,ID,1683474403
24,talnakh,69.4865,88.3972,1.36,97,17,3.83,RU,1683474403
25,tolanaro,-25.0319,46.9987,75.27,83,20,20.71,MG,1683474403
26,matoury,4.8483,-52.3317,87.76,70,40,16.11,GF,1683474253
27,albany,42.6001,-73.9662,71.89,37,11,3.0,US,1683474187
28,iqaluit,63.7506,-68.5145,24.53,73,40,21.85,CA,1683474158
29,bastia,42.6667,9.3333,71.4,80,75,2.3,FR,1683474292
30,twon-brass,4.3151,6.2418,83.98,73,39,8.23,NG,1683474404
31,afsin,38.2477,36.914,58.01,59,92,7.63,TR,1683474404
32,ilulissat,69.2167,-51.1,32.02,93,75,2.3,GL,1683474404
33,margaret river,-33.95,115.0667,64.98,52,94,17.96,AU,1683474404
34,nemuro,43.3236,145.575,38.37,74,100,4.0,JP,1683474296
35,khilok,51.3674,110.4676,36.88,58,3,1.74,RU,1683474405
36,tambura,5.6,27.4667,79.41,66,98,12.1,SS,1683474405
37,mugia,43.1041,-9.2179,71.17,67,70,4.85,ES,1683474405
38,port-aux-francais,-49.35,70.2167,39.18,64,47,31.25,TF,1683474405
39,motala,58.5371,15.0365,59.94,38,16,2.89,SE,1683474405
40,adamstown,-25.066,-130.1015,71.98,64,98,18.07,PN,1683474406
41,tyukhtet,56.5389,89.3011,57.85,54,24,5.64,RU,1683474406
42,edinburgh of the seven seas,-37.0676,-12.3116,58.91,66,30,7.9,SH,1683474111
43,talakan,50.3167,130.3667,47.16,39,5,4.97,RU,1683474406
44,carnarvon,-24.8667,113.6333,72.79,68,98,16.49,AU,1683474406
45,kodiak,57.79,-152.4072,35.11,80,100,12.66,US,1683474407
46,badger,64.8,-147.5333,33.67,83,40,3.44,US,1683474407
47,hermanus,-34.4187,19.2345,64.8,69,22,13.58,ZA,1683474407
48,amos,48.5669,-78.1162,57.02,39,100,7.31,CA,1683474178
49,hawaiian paradise park,19.5933,-154.9731,67.51,93,100,8.05,US,1683474153
50,usinsk,65.9939,57.5281,23.11,93,100,18.41,RU,1683474407
51,bereznik,62.8551,42.7072,38.7,56,94,7.34,RU,1683474408
52,constantia,44.1833,28.65,57.88,78,15,11.1,RO,1683474408
53,invercargill,-46.4,168.35,47.01,95,100,3.0,NZ,1683474408
54,turabah,21.2141,41.6331,91.49,11,7,10.92,SA,1683474408
55,turaif,31.6725,38.6637,79.05,19,40,9.22,SA,1683474409
56,dudinka,69.4058,86.1778,0.68,99,52,5.97,RU,1683474409
57,avarua,-21.2078,-159.775,77.05,94,97,5.75,CK,1683474409
58,college,64.8569,-147.8028,33.75,84,40,3.44,US,1683474409
59,kruisfontein,-34.0033,24.7314,61.88,75,100,4.47,ZA,1683474409
60,el granada,37.5027,-122.4694,58.19,80,0,4.61,US,1683474409
61,kannur,11.8675,75.3576,81.93,78,84,8.72,IN,1683474410
62,sinabang,2.4803,96.3801,77.97,89,100,7.96,ID,1683474410
63,khandud,36.9513,72.318,32.32,72,98,4.41,AF,1683474410
64,puerto ayora,-0.7393,-90.3518,87.76,92,91,5.99,EC,1683474410
65,arraial do cabo,-22.9661,-42.0278,80.56,73,75,8.05,BR,1683474410
66,papatowai,-46.5619,169.4708,51.78,88,100,3.91,NZ,1683474411
67,alakurtti,66.9672,30.3491,35.06,100,100,3.24,RU,1683474411
68,quellon,-43.1167,-73.6167,50.25,81,40,9.22,CL,1683474411
69,whitehorse,60.7161,-135.0538,39.09,64,75,1.01,CA,1683474174
70,harper,4.375,-7.7169,84.25,67,100,2.77,LR,1683474411
71,bethel,41.3712,-73.414,74.16,37,0,5.75,US,1683474228
72,lerwick,60.1545,-1.1494,48.2,94,100,23.91,GB,1683474412
73,sal rei,16.1833,-22.9167,79.0,61,40,23.02,CV,1683474412
74,lihue,21.9789,-159.3672,74.79,74,40,20.71,US,1683474395
75,yellowknife,62.456,-114.3525,52.32,50,20,13.8,CA,1683474412
76,tura,25.5198,90.2201,78.22,34,0,4.76,IN,1683474413
77,tibro,58.4245,14.1616,57.76,35,15,3.0,SE,1683474413
78,praia da vitoria,38.7333,-27.0667,68.25,88,40,27.94,PT,1683474412
79,kisangani,0.5167,25.2,84.56,74,40,6.91,CD,1683474413
80,kavieng,-2.5744,150.7967,82.17,80,73,9.75,PG,1683474201
81,yeed,4.55,43.0333,90.05,41,97,10.38,SO,1683474413
82,madera,37.1666,-119.8343,62.44,49,52,2.44,US,1683474414
83,bredasdorp,-34.5322,20.0403,60.67,71,63,9.17,ZA,1683474414
84,saba,15.4667,-86.25,90.72,27,100,2.53,HN,1683474414
85,tiksi,71.6872,128.8694,-5.82,96,22,9.31,RU,1683474414
86,thompson,55.7435,-97.8558,55.56,50,0,4.61,CA,1683474414
87,jamestown,42.097,-79.2353,71.19,54,40,5.99,US,1683474415
88,stanley,54.868,-1.6985,65.79,73,20,5.75,GB,1683474415
89,coro,11.4045,-69.6734,87.73,61,89,14.67,VE,1683474415
90,kokoda,-8.8785,147.7407,75.31,97,100,0.65,PG,1683474415
91,wajir,1.7471,40.0573,85.01,53,100,14.12,KE,1683474415
92,ribeira grande,38.5167,-28.7,64.8,94,75,15.01,PT,1683474415
93,kingscliff,-28.2667,153.5667,57.72,38,0,10.36,AU,1683474416
94,udachny,66.4167,112.4,14.45,61,98,5.17,RU,1683474222
95,monteagudo,-19.8167,-63.9833,72.55,60,100,4.38,BO,1683474416
96,ancud,-41.8697,-73.8203,50.54,74,0,2.17,CL,1683474416
97,port elizabeth,-33.918,25.5701,66.49,77,100,3.44,ZA,1683474417
98,vilyuchinsk,52.9306,158.4028,34.07,85,16,6.29,RU,1683474417
99,west island,-12.1568,96.8225,82.38,83,96,3.44,CC,1683474417
100,tash-kumyr,41.3461,72.2171,59.02,55,27,6.53,KG,1683474417
101,gazli,40.1333,63.45,71.38,28,21,3.94,UZ,1683474417
102,mount pearl,47.5166,-52.7813,49.32,52,75,10.36,CA,1683474417
103,gazojak,41.1875,61.4036,72.97,26,2,6.17,TM,1683474418
104,acarau,-2.8856,-40.12,86.43,63,78,11.43,BR,1683474418
105,bor,56.3567,44.0669,44.53,52,93,7.74,RU,1683474418
106,fale old settlement,-9.3852,-171.2468,84.47,73,52,13.49,TK,1683474418
107,vorgashor,67.5833,63.95,22.87,87,99,15.52,RU,1683474418
108,kakching,24.4833,93.9833,67.35,54,0,2.59,IN,1683474419
109,brisas de zicatela,15.8369,-97.0419,90.12,70,40,3.44,MX,1683474419
110,utrik,11.2278,169.8474,81.12,80,96,18.25,MH,1683474419
111,bardai,11.65,7.2333,100.76,7,79,15.41,NG,1683474419
112,isafjordur,66.0755,-23.124,44.64,76,75,6.91,IS,1683474147
113,hilo,19.7297,-155.09,68.29,95,100,8.05,US,1683474161
114,altamira,-3.2033,-52.2064,86.09,74,75,3.44,BR,1683474254
115,kristiansund,63.1115,7.732,59.05,47,0,9.22,NO,1683474420
116,flin flon,54.7682,-101.865,57.04,44,20,4.61,CA,1683474420
117,ostersund,63.1792,14.6357,54.05,35,0,3.44,SE,1683474252
118,tazovsky,67.4667,78.7,22.78,95,100,16.02,RU,1683474270
119,necochea,-38.5473,-58.7368,60.94,85,100,15.35,AR,1683474378
120,camacupa,-12.0167,17.4833,73.08,51,15,3.11,AO,1683474420
121,geraldton,-28.7667,114.6,68.41,83,100,0.0,AU,1683474421
122,shipunovo,52.1582,82.2173,62.08,47,0,6.6,RU,1683474421
123,new norfolk,-42.7826,147.0587,37.71,72,39,3.06,AU,1683474421
124,minas de marcona,-15.2119,-75.1103,65.71,69,76,14.16,PE,1683474421
125,polyarnyy,69.1989,33.4478,36.68,90,98,12.1,RU,1683474421
126,ola,59.5833,151.2833,31.98,91,24,3.18,RU,1683474275
127,totness,5.8833,-56.3167,82.13,78,60,10.4,SR,1683474422
128,funafuti,-8.5243,179.1942,80.6,94,40,2.3,TV,1683474422
129,bandrele,-12.9067,45.1914,80.35,83,0,5.75,YT,1683474423
130,st. john's,47.5649,-52.7093,50.14,51,75,10.36,CA,1683474423
131,prince rupert,54.3161,-130.3201,46.49,88,100,3.44,CA,1683474423
132,anar darah,32.7587,61.654,73.72,19,0,17.29,AF,1683474423
133,richards bay,-28.783,32.0377,72.12,76,92,6.96,ZA,1683474423
134,rimouski,48.4488,-68.524,60.98,56,33,11.56,CA,1683474177
135,oliva de la frontera,38.276,-6.9187,85.55,16,10,8.16,ES,1683474424
136,tsiombe,-25.3,45.4833,71.47,88,0,6.82,MG,1683474424
137,cabo san lucas,22.8909,-109.9124,79.61,60,40,2.3,MX,1683474226
138,keflavik,64.0049,-22.5624,55.31,93,100,17.27,IS,1683474154
139,ierapetra,35.01,25.7353,70.14,51,4,15.01,GR,1683474424
140,enewetak,11.3474,162.3373,81.23,76,99,19.28,MH,1683474316
141,longyearbyen,78.2186,15.6401,30.04,74,40,4.61,SJ,1683474425
142,ingeniero jacobacci,-41.3427,-69.5448,52.09,50,50,10.09,AR,1683474425
143,smithers,54.7804,-127.1743,46.72,87,100,5.75,CA,1683474425
144,chonchi,-42.6128,-73.8092,56.12,67,11,2.75,CL,1683474161
145,atafu village,-8.5421,-172.5159,83.66,78,8,14.16,TK,1683474426
146,mirny,62.5353,113.9611,7.79,96,16,2.51,RU,1683474426
147,chibougamau,49.9168,-74.3659,49.62,53,0,11.5,CA,1683474426
148,jangaon,17.7167,79.1833,88.57,49,38,4.29,IN,1683474426
149,sao jose do belmonte,-7.8614,-38.7597,90.45,29,53,8.1,BR,1683474427
150,sungailiat,-1.85,106.1333,80.92,82,99,7.67,ID,1683474427
151,alice springs,-23.7,133.8833,45.95,61,0,17.34,AU,1683474427
152,lastoursville,-0.8143,12.7287,82.98,79,60,2.71,GA,1683474427
153,wailua homesteads,22.0669,-159.378,74.19,74,40,20.71,US,1683474428
154,tokar,18.4254,37.729,84.85,49,12,12.46,SD,1683474428
155,georgetown,5.4112,100.3354,84.15,84,20,0.0,MY,1683474428
156,ciudad lazaro cardenas,17.9583,-102.2,89.51,45,0,3.11,MX,1683474428
157,hithadhoo,-0.6,73.0833,82.76,77,97,14.58,MV,1683474428
158,swan hill,-35.3378,143.5544,43.02,67,3,9.64,AU,1683474429
159,nova sintra,14.8667,-24.7167,68.0,76,0,20.45,CV,1683474429
160,sorochinsk,52.4338,53.1583,46.09,43,55,9.19,RU,1683474429
161,dakhla,23.6848,-15.958,75.22,46,0,28.77,EH,1683474429
162,brigantine,39.4101,-74.3646,75.2,66,0,8.05,US,1683474429
163,lompoc,34.6391,-120.4579,60.6,83,0,1.99,US,1683474429
164,zhangjiakou shi xuanhua qu,40.6103,115.0447,60.35,18,100,1.79,CN,1683474430
165,hamilton,39.1834,-84.5333,66.78,95,100,9.22,US,1683474197
166,labuan,5.2767,115.2417,77.36,94,40,0.0,MY,1683474234
167,machico,32.7,-16.7667,78.71,58,20,14.97,PT,1683474430
168,berdigestyakh,62.0989,126.6992,19.38,93,88,7.18,RU,1683474163
169,carutapera,-1.195,-46.02,89.02,58,36,8.68,BR,1683474431
170,amahai,-3.3333,128.9167,79.65,86,100,3.44,ID,1683474431
171,goldsboro,35.3849,-77.9928,78.21,53,0,12.66,US,1683474431
172,at taj,24.2049,23.2857,83.84,13,0,10.13,LY,1683474431
173,east london,-33.0153,27.9116,65.34,82,75,8.05,ZA,1683474431
174,anadyr,64.75,177.4833,28.9,100,75,13.42,RU,1683474432
175,ennis,52.8436,-8.9864,60.73,77,100,16.11,IE,1683474432
176,sao joao da barra,-21.6403,-41.0511,82.49,69,23,7.83,BR,1683474151
177,baker city,44.7749,-117.8344,43.59,90,100,11.5,US,1683474432
178,swakopmund,-22.6833,14.5333,67.05,87,17,5.01,NA,1683474432
179,watsa,3.0372,29.5355,69.37,85,99,1.74,CD,1683474433
180,makokou,0.5738,12.8642,76.78,84,47,3.11,GA,1683474433
181,edson,53.5835,-116.4356,42.94,93,100,9.22,CA,1683474433
182,port mathurin,-19.6833,63.4167,78.8,72,1,21.7,MU,1683474433
183,nizhnyaya tavda,57.6731,66.1725,50.41,62,75,13.44,RU,1683474433
184,beloyarskiy,63.7119,66.6722,34.99,99,100,4.07,RU,1683474434
185,afaahiti,-17.75,-149.2833,71.47,75,44,13.67,PF,1683474434
186,gretna,29.9147,-90.054,82.0,70,75,11.5,US,1683474434
187,namibe,-15.1961,12.1522,77.74,63,4,13.22,AO,1683474434
188,ceeldheer,3.8488,47.1806,82.56,76,40,18.63,SO,1683474434
189,taupo,-38.6833,176.0833,56.77,93,96,4.03,NZ,1683474435
190,midvagur,62.0511,-7.1939,50.83,93,100,13.8,FO,1683474435
191,emerald,-23.5333,148.1667,56.34,56,13,20.07,AU,1683474435
192,ushtobe,45.2514,77.9838,57.18,37,53,3.13,KZ,1683474436
193,alofi,-19.0595,-169.9187,66.09,100,6,1.14,NU,1683474436
194,temozon,20.8,-88.2167,93.52,40,49,5.77,MX,1683474436
195,susuman,62.7833,148.1667,21.69,88,64,1.95,RU,1683474437
196,tommot,58.9564,126.2925,30.81,93,59,9.57,RU,1683474437
197,yamada,39.4667,141.95,42.66,95,100,10.85,JP,1683474437
198,port macquarie,-31.4333,152.9167,51.89,56,1,14.45,AU,1683474258
199,remire-montjoly,4.9167,-52.2667,87.84,70,40,16.11,GF,1683474437
200,san patricio,28.017,-97.5169,82.26,61,86,15.12,US,1683474437
201,mejit,10.2753,170.8646,80.69,83,46,18.81,MH,1683474438
202,qaqortoq,60.7167,-46.0333,38.25,63,100,4.79,GL,1683474438
203,itacarambi,-15.1022,-44.0919,91.53,28,0,3.78,BR,1683474438
204,horta,38.5333,-28.6333,64.04,96,75,15.01,PT,1683474438
205,grand gaube,-20.0064,57.6608,77.38,77,16,4.0,MU,1683474438
206,tocopilla,-22.092,-70.1979,73.18,57,8,7.31,CL,1683474439
207,sitka,57.0531,-135.33,44.49,81,100,0.0,US,1683474357
208,northam,51.0333,-4.2167,57.65,80,100,8.1,GB,1683474439
209,yuzhno-kurilsk,44.0306,145.8556,37.4,79,98,2.53,RU,1683474439
210,bamboo flat,11.7,92.7167,84.7,75,99,2.8,IN,1683474439
211,ruelle-sur-touvre,45.6833,0.2333,67.48,60,100,13.8,FR,1683474440
212,paraiso,9.8383,-83.8656,77.5,64,100,5.97,CR,1683474440
213,castillos,-34.1667,-53.8333,71.1,56,48,9.95,UY,1683474278
214,council bluffs,41.2619,-95.8608,76.26,67,0,20.71,US,1683474440
215,iwanai,42.9744,140.5089,43.65,90,100,3.87,JP,1683474441
216,mocimboa,-11.3167,40.35,75.63,81,21,6.87,MZ,1683474441
217,santona,43.4439,-3.4576,68.31,77,59,7.27,ES,1683474441
218,nadi,-17.8,177.4167,73.4,94,40,3.44,FJ,1683474441
219,monte cristo,-31.3431,-63.9444,72.95,50,30,3.67,AR,1683474441
220,lincoln city,44.9582,-124.0179,51.13,90,75,7.0,US,1683474219
221,christchurch,-43.5333,172.6333,57.9,86,95,8.05,NZ,1683474442
222,port saint john's,-31.6229,29.5448,67.53,79,91,5.64,ZA,1683474442
223,hobyo,5.3505,48.5268,82.72,79,97,21.94,SO,1683474442
224,pisco,-13.7,-76.2167,73.02,78,95,6.91,PE,1683474268
225,tres palos,18.1833,-101.6167,93.61,24,0,3.74,MX,1683474443
226,kathu,7.9178,98.3332,87.69,99,100,7.76,TH,1683474443
227,kill devil hills,36.0307,-75.676,75.22,53,0,8.05,US,1683474444
228,calvinia,-31.4707,19.776,61.11,32,0,7.11,ZA,1683474444
229,novyy urgal,51.0736,132.5642,41.67,58,7,1.66,RU,1683474445
230,bartica,6.4,-58.6167,89.92,58,43,5.03,GY,1683474445
231,fort st. john,56.2499,-120.8529,49.89,50,75,11.5,CA,1683474445
232,tirunelveli,8.7333,77.7,82.89,72,100,3.4,IN,1683474445
233,kawambwa,-9.7915,29.0791,65.39,67,3,4.32,ZM,1683474445
234,fortuna,40.5982,-124.1573,52.66,82,100,5.01,US,1683474445
235,salaga,8.5508,-0.5188,99.25,30,57,11.45,GH,1683474446
236,namie,37.4833,141.0,50.72,95,100,17.47,JP,1683474446
237,namdrik,5.5994,168.1028,82.27,81,88,10.11,MH,1683474446
238,port alfred,-33.5906,26.891,63.18,92,97,1.01,ZA,1683474446
239,sisimiut,66.9395,-53.6735,34.45,84,94,9.89,GL,1683474447
240,urangan,-25.3,152.9,61.14,54,0,18.54,AU,1683474447
241,colonia,50.9333,6.95,67.05,70,20,9.22,DE,1683474231
242,aasiaat,68.7098,-52.8699,30.29,91,94,2.66,GL,1683474327
243,olonkinbyen,70.9221,-8.7187,33.71,98,100,14.27,SJ,1683474447
244,puerto san jose,13.9256,-90.8244,91.51,51,100,1.79,GT,1683474448
245,taoyuan city,24.9937,121.297,67.08,93,75,10.36,TW,1683474448
246,cotoca,-17.8167,-63.05,73.85,73,75,13.8,BO,1683474448
247,puerto carreno,6.189,-67.4859,84.18,70,74,12.66,CO,1683474173
248,meadow lakes,61.6247,-149.6011,39.63,91,0,0.0,US,1683474448
249,fort bragg,35.139,-79.006,78.82,55,20,14.97,US,1683474171
250,arauca,7.0847,-70.7591,89.56,58,20,10.36,CO,1683474449
251,mil'kovo,55.6078,37.7956,47.34,43,99,6.17,RU,1683474449
252,reyes,-14.3167,-67.3833,69.96,100,100,0.0,BO,1683474449
253,catamayo,-3.9833,-79.35,80.85,39,20,3.44,EC,1683474450
254,rabaul,-4.1967,152.1721,79.81,83,100,5.64,PG,1683474450
255,yanam,16.7333,82.2167,79.7,81,50,2.66,IN,1683474450
256,lower hutt,-41.2167,174.9167,61.81,89,73,11.5,NZ,1683474450
257,mammoth lakes,37.6485,-118.9721,39.92,43,0,4.61,US,1683474357
258,mahenge,-8.6833,36.7167,64.56,74,31,2.42,TZ,1683474451
259,okakarara,-20.5833,17.4333,77.29,28,69,6.71,NA,1683474451
260,tindouf,27.6711,-8.1474,95.45,11,0,5.75,DZ,1683474451
261,cabedelo,-6.9811,-34.8339,86.67,69,14,13.09,BR,1683474451
262,paradip garh,20.3167,86.6167,84.76,80,3,12.5,IN,1683474451
263,igarka,67.4667,86.5833,21.0,88,100,9.28,RU,1683474451
264,port lincoln,-34.7333,135.8667,55.65,65,92,6.71,AU,1683474452
265,kalabo,-14.97,22.6814,75.72,33,9,2.62,ZM,1683474452
266,de aar,-30.6497,24.0123,62.87,47,100,4.9,ZA,1683474452
267,buri,-23.7975,-48.5928,80.96,53,60,2.3,BR,1683474452
268,mckinleyville,40.9465,-124.1006,52.52,86,100,3.44,US,1683474421
269,vilhena,-12.7406,-60.1458,80.82,78,40,10.36,BR,1683474453
270,portland,45.5234,-122.6762,53.53,76,100,7.0,US,1683474406
271,khandyga,62.6667,135.6,33.6,98,100,4.68,RU,1683474453
272,mournies,35.4764,24.0092,73.8,56,20,6.91,GR,1683474453
273,mount isa,-20.7333,139.5,62.37,34,1,19.57,AU,1683474294
274,kuala tungkal,-0.8167,103.4667,76.73,91,100,5.28,ID,1683474454
275,la passe,45.5549,-0.8967,68.23,77,15,11.18,FR,1683474183
276,vieira de leiria,39.8695,-8.9324,79.84,66,20,16.11,PT,1683474454
